Height;Weight
175.0;83.4
168.6;85.4
176.5;72.4
185.2;86.2
167.7;72.2
167.7;73.0
185.8;80.6
177.7;75.6
165.3;74.6
175.4;74.8
165.4;75.8
165.3;74.2
172.4;76.4
150.9;63.4
152.8;65.9
164.4;77.7
159.9;74.4
173.1;73.0
160.9;72.9
155.9;73.9
184.7;74.7
167.7;78.2
170.7;73.5
155.8;72.9
164.6;70.2
171.1;68.0
158.5;63.2
173.8;78.4
164.0;75.1
167.1;70.7
164.0;77.0
188.5;76.5
169.9;76.1
159.4;65.7
178.2;76.9
157.8;71.2
172.1;73.1
150.4;65.8
156.7;75.6
172.0;74.5
177.4;84.0
171.7;71.6
168.8;78.6
167.0;82.4
155.2;57.5
162.8;69.3
165.4;77.3
180.6;80.2
173.4;79.9
152.4;65.5
173.2;78.4
166.1;74.0
163.2;79.3
176.1;80.5
180.3;82.8
179.3;78.6
161.6;70.3
166.9;72.9
173.3;80.0
179.8;78.8
165.2;75.8
168.1;86.0
158.9;75.9
158.0;69.5
178.1;86.2
183.6;80.6
169.3;66.0
180.0;76.0
173.6;68.8
163.5;71.8
173.6;78.2
185.4;91.8
169.6;78.0
185.6;82.4
143.8;68.9
178.2;69.1
170.9;78.1
167.0;79.0
170.9;69.5
150.1;73.3
167.8;77.2
173.6;76.0
184.8;86.3
164.8;85.5
161.9;73.8
165.0;75.5
179.2;78.3
173.3;73.7
164.7;78.3
175.1;74.5
171.0;77.3
179.7;78.5
163.0;75.7
166.7;76.7
166.1;79.9
155.4;67.4
173.0;76.5
172.6;72.8
170.1;74.3
167.7;77.3
155.8;73.9
165.8;70.0
166.6;79.3
162.0;79.7
168.4;77.8
174.0;87.7
188.9;81.1
171.7;71.1
172.6;68.8
169.3;83.6
150.8;71.1
169.7;76.1
170.6;78.2
194.6;82.0
168.1;87.9
173.0;78.5
169.7;76.9
158.3;74.9
181.4;84.0
177.5;81.0
177.9;76.1
160.9;74.8
184.0;92.2
156.0;76.9
175.9;87.1
191.9;83.8
160.1;67.1
164.3;73.3
171.0;77.2
165.0;79.7
154.5;61.1
170.7;84.5
159.4;70.9
174.7;76.5
160.8;67.3
185.5;75.2
162.2;77.1
166.8;75.4
178.1;73.7
157.7;64.5
172.3;75.8
183.1;90.7
153.9;68.0
171.8;69.8
172.6;76.4
177.8;78.7
157.6;57.4
156.8;70.3
175.2;77.7
173.0;81.3
172.5;86.9
173.5;83.7
163.2;72.1
172.3;72.0
172.9;90.7
162.9;73.6
